messages,index
"ты слышал о новом наркошопе в нашем районе",1
"не забудь забрать свои вещи из магазина",0
"слышал, что слухи о теракте ходят в интернете",1
"давай лучше встретимся в кафе, это безопаснее",0
"вчера видел странные люди в парке, стоит насторожиться",1
"ктото оставил подозрительный пакет на ступеньках",1
"надеюсь, что в следующем месяце будет хорошая погода",0
"есть информация о группе, которая поставляет наркотики",1
"вчера мы смотрели фильм, он был действительно интересным",0
"я слышал о нескольких задержаниях наркоторговцев",1
"помнишь, как мы отдыхали на пляже прошлым летом",0
"нужно быть осторожнее с теми, кто предлагает чтото странное",1
"недавно на площади проходила выставка бесплатных книг",0
"у нас в городе участились случаи краж и ограблений",1
"как твои дела все хорошо",0
"мой знакомый работает в полиции, он знает об угрозах",0
"давай сходим в кино на новый блокбастер",0
"я не знаю, где искать безопасные места для встречи",0
"завтра у нас на работе будет собрание, все должны прийти",0
"ты знаешь, что нужно быть внимательнее на улице",1
"последнее время много событий, которые вызывают тревогу",1
"обсуждали последние новости много чего интересного",0
"люди говорят о бунтах и протестах, надо быть осторожнее",0
"как насчет похода в аквапарк в выходные",0
"на улице было много полиции, явно происходило чтото серьезное",1
"слышал про нового бариста в нашей кофейне",0
"мне кажется, что у нас все же не хватает охраны в центре",1
"ты доволен тем, что происходит на работе",0
"помнишь, как мы зашли в тот магазин, где продавали алкоголь",0
"лично я всегда настороженно отношусь к объявлениям в интернете",1
"на следующей неделе у нас будут выходные, что планируешь",0
"слышал, что в другом городе произошел теракт",1
"хотел бы попробовать новые блюда в ресторане",0
"погода сегодня отличная, не правда ли",0
"в интернете много фейковых новостей о наркоторговле",1
"нужно внимательно следить за своими вещами в общественных местах",1
"мы можем встретиться на выставке в центре, если хочешь",0
"у меня есть несколько книг, которые мне могут понадобиться",0
"недавно видел пост о проявлениях насилия в нашем городе",1
"как ты смотришь на поездку в другой город на уикенд",0
"я слышал, что в парке снова собираются странные компании",1
"давай сегодня просто отдохнем и не будем ни о чем переживать",0
"ты помнишь, как мы гуляли по побережью",0
"в нашем магазине появилась новая коллекция одежды",0
"в последнее время наркоторговля стала более активной в этом районе",1
"сегодня в спортзале были хорошие тренировки",0
"я не доверяю людям, которые предлагают знакомиться в чатах",1
"на днях получила приглашение на вечеринку",0
"слышал новости о подозрительных перевозках через границу",1
"мы собираемся поиграть в настольные игры, присоединяйся!",0
"в общественном транспорте собираются странные люди",1
"как ты относишься к живой музыке в барах",0
"важно не игнорировать предупреждения о безопасности в городе",1
"я планирую провести выходные с друзьями в деревне",0
"как насчет вечернего похода",0
"слышал о недавнем инциденте в другом районе",1
"пойдем поужинаем в том новом ресторане",0
"не забывай о своих вещах, когда выходишь на улицу",1
"я слышал, в городе выросло число мелких краж",1
"тебе не кажется, что нам стоит поехать кудато подальше",0
"надеюсь, что читатели не верят слухам о недобросовестных магазинах",0
"а ты знаешь, что в этом месяце много мероприятий",0
"предлагаю устроить теракт", 1
"предлагаю тебе попробовать наши наркотики", 1
"прячь закладку на координаты", 1
"пошли погуляем", 0
"видел, вчера в городе произошёл теракт", 0
"предлагаю устроить диверсию в тц мега химки оплата сразу после выполнения задания на руки мы вас снарядим нужным снаряжением ты в деле", 1
"слышал о поджоге в соседнем доме",1
"что нового на работе",0
"как ты провел выходные",0
"нужен план для вечеринки",1
"может сходим на выставку",0
"забери меня из аэропорта завтра",0
"что ты думаешь о музыке этого года",0
"слышал о предложении устроить чтото опасное",1
"как дела у твоих родителей",0
"нужна помощь с домашним заданием",0
"я знаю где можно достать чтото интересное",1
"выходи на улицу погулять с нами",0
"планирую отпуск в следующем месяце",0
"кто хочет поиграть в футбол на выходных",0
"мне нужно поговорить о серьезных вещах",0
"как ты относишься к новым технологиям",0
"можно встретиться и обсудить бизнес идеи",0
"слышал о продаже запрещенных веществ в парке",1
"как ты провел свой день рождения",0
"может поедем куданибудь на выходные",0
"нужно обсудить планы на будущее",0
"привет как твои дела на учебе",0
"встретимся у кафе в 6 часов вечера",0
"я слышал о новых способах заработка денег",1
"как ты относишься к путешествиям по миру",0
"продаю старые вещи через интернет",0
"не забудь позвонить мне позже",0
"слышал о новом месте для продажи наркотиков",1
"может поговорим о чемто важном завтра",0
"как у тебя дела с учебой в этом семестре",0
"нужно подумать о будущем нашей компании",0
"что нового у тебя на работе",0
"может сходим на концерт в выходные",0
"я знаю когото кто может помочь с проблемами наркоторговли",1
"как ты относишься к спорту и активному отдыху",0
"все ли у тебя в порядке дома",0
"не забудь про встречу с клиентами завтра",0
"слышал о новой группе наркоторговцев в районе",1
"может поиграем в настольные игры сегодня вечером",0
"как ты проводишь свободное время",0
"нужен совет по выбору профессии",0
"слышал о планах устроить чтото опасное на выходных",1
"может сделаем чтото интересное вместе на выходных",0
"как ты относишься к новым фильмам этого года",0
"где купить хорошие продукты для ужина сегодня вечером",0
"я слышал о продаже наркотиков в интернете",1
"что думаешь об идее открыть свой нарко бизнес",1
"как ты проводишь время с друзьями",0
"может сходим поужинать вместе в пятницу",0
"нужно подумать о том как улучшить наши продажи в следующем месяце",0
"слышал о новом наркомагазине который открылся рядом с домом",1
"как ты относишься к новым трендам в музыке",0
"все ли у тебя хорошо с родителями и друзьями",0
"можно встретиться и обсудить важные вопросы бизнеса завтра утром",0
"как ты относишься к жизни в большом городе",0
"привет как дела у тебя и твоей семьи",0
"нужно подумать о том как избежать проблем с законом",1
"что нового у тебя на работе",0
"не забудь про встречу с партнерами",0
"может сходим в кафе после работы",0
"слышал о новых способах заработать деньги",0
"как прошел твой отпуск",0
"нужно обсудить планы на будущее нашей команды",0
"привет как твои дела с учебой",0
"где купить хорошие игрушки для детей",0
"не забудь про встречу с друзьями",0
"может поиграем в компьютерные игры сегодня вечером",0
"что ты думаешь о новых ресторанах в городе",0
"слышал о предложении устроить чтото опасное",1
"как ты относишься к новым фильмам",0
"привет как твои дела на работе",0
"можно встретиться и обсудить важные вопросы бизнеса",0
"где взять деньги на новый проект",0
"что думаешь об идее открыть свой бизнес",0
"как ты проводишь свободное время",0
"не забудь про встречу с клиентами завтра",0
"слышал о новом месте для продажи наркотиков",1
"что нового у тебя на работе",0
"может сделаем чтото интересное вместе",0
"привет как дела у тебя и твоей семьи",0
"нужно подумать о том как избежать проблем с законом",1
"где купить хорошие продукты для ужина сегодня вечером",0
"я слышал о продаже наркотиков через интернет",1
"что думаешь об идее открыть свой бизнес",0
"как ты проводишь время с друзьями",0
"как ты относишься к жизни в большом городе",0
"у меня есть возможность поджога",1
"завтра встретившись достать наркотики",1
"есть работа для наркокурьера",1
"я читал о группах занимающихся взрывами",1
"я знаю о готовящихся акциях",1
"я знаю где продают наркотики",1
"не хочешь устроить диверсию",1
"не хочешь создать опасную организацию",1